size,n,Q,NPV,var,dem,sed,prc,dsc,dtemp,dprec
80,1,9.45807249495938,800.292431081003,308,102.501929065163,0.561965848904339,1.24703169135788,0.0662347006673195,0.301786402730565,1.08491732670393
100,1,9.45807249495938,814.837437893018,308,102.501929065163,0.561965848904339,1.24703169135788,0.0662347006673195,0.301786402730565,1.08491732670393
120,1,9.45807249495938,817.78459004117,308,102.501929065163,0.561965848904339,1.24703169135788,0.0662347006673195,0.301786402730565,1.08491732670393
130,1,9.45807249495938,817.779988559937,308,102.501929065163,0.561965848904339,1.24703169135788,0.0662347006673195,0.301786402730565,1.08491732670393
140,1,9.45807249495938,816.264581410529,308,102.501929065163,0.561965848904339,1.24703169135788,0.0662347006673195,0.301786402730565,1.08491732670393
80,2,7.10449116038559,636.24158808055,258,97.1615887248226,0.557936773023538,0.910665268769387,0.0596851454955573,0.398370044305921,0.706971790774592
100,2,7.10449116038559,633.538628960728,258,97.1615887248226,0.557936773023538,0.910665268769387,0.0596851454955573,0.398370044305921,0.706971790774592
120,2,7.10449116038559,628.495303191747,258,97.1615887248226,0.557936773023538,0.910665268769387,0.0596851454955573,0.398370044305921,0.706971790774592
130,2,7.10449116038559,624.44502595889,258,97.1615887248226,0.557936773023538,0.910665268769387,0.0596851454955573,0.398370044305921,0.706971790774592
140,2,7.10449116038559,621.660545227011,258,97.1615887248226,0.557936773023538,0.910665268769387,0.0596851454955573,0.398370044305921,0.706971790774592
80,3,8.99726135842338,1695.61822290853,552,103.382809946044,0.838865026242908,0.945076469929928,0.0209040433893892,2.48417732232299,1.01813164422555
100,3,8.99726135842338,1761.31931635898,552,103.382809946044,0.838865026242908,0.945076469929928,0.0209040433893892,2.48417732232299,1.01813164422555
120,3,8.99726135842338,1783.03091098685,552,103.382809946044,0.838865026242908,0.945076469929928,0.0209040433893892,2.48417732232299,1.01813164422555
130,3,8.99726135842338,1792.62808403962,552,103.382809946044,0.838865026242908,0.945076469929928,0.0209040433893892,2.48417732232299,1.01813164422555
140,3,8.99726135842338,1799.78416331721,552,103.382809946044,0.838865026242908,0.945076469929928,0.0209040433893892,2.48417732232299,1.01813164422555
80,4,8.47931294950485,718.8856375132,57,67.2666938299277,0.690969160735934,1.21865248237261,0.0562496326216455,2.72602236520891,0.940706183435395
100,4,8.47931294950485,728.75835251673,57,67.2666938299277,0.690969160735934,1.21865248237261,0.0562496326216455,2.72602236520891,0.940706183435395
120,4,8.47931294950485,733.512028203019,57,67.2666938299277,0.690969160735934,1.21865248237261,0.0562496326216455,2.72602236520891,0.940706183435395
130,4,8.47931294950485,730.903907681635,57,67.2666938299277,0.690969160735934,1.21865248237261,0.0562496326216455,2.72602236520891,0.940706183435395
140,4,8.47931294950485,727.351197445247,57,67.2666938299277,0.690969160735934,1.21865248237261,0.0562496326216455,2.72602236520891,0.940706183435395
80,5,7.93648568215201,564.777351799133,467,94.51894608218,0.881866140782743,0.724605735305658,0.0675056185756108,1.43652279429922,0.80403784895981
100,5,7.93648568215201,564.519354055023,467,94.51894608218,0.881866140782743,0.724605735305658,0.0675056185756108,1.43652279429922,0.80403784895981
120,5,7.93648568215201,557.279453219511,467,94.51894608218,0.881866140782743,0.724605735305658,0.0675056185756108,1.43652279429922,0.80403784895981
130,5,7.93648568215201,554.649712236487,467,94.51894608218,0.881866140782743,0.724605735305658,0.0675056185756108,1.43652279429922,0.80403784895981
140,5,7.93648568215201,552.949069808456,467,94.51894608218,0.881866140782743,0.724605735305658,0.0675056185756108,1.43652279429922,0.80403784895981
80,6,10.9704404100329,828.736823443387,482,92.9223494855834,0.718210095463011,0.772062324765823,0.0532722985426484,0.654522527744503,1.30105925793094
100,6,10.9704404100329,835.648633346982,482,92.9223494855834,0.718210095463011,0.772062324765823,0.0532722985426484,0.654522527744503,1.30105925793094
120,6,10.9704404100329,837.132895965016,482,92.9223494855834,0.718210095463011,0.772062324765823,0.0532722985426484,0.654522527744503,1.30105925793094
130,6,10.9704404100329,835.550843234784,482,92.9223494855834,0.718210095463011,0.772062324765823,0.0532722985426484,0.654522527744503,1.30105925793094
140,6,10.9704404100329,835.51529819423,482,92.9223494855834,0.718210095463011,0.772062324765823,0.0532722985426484,0.654522527744503,1.30105925793094
80,7,8.99328240582435,536.527584519659,808,101.951378514612,0.82798418549432,0.858145587157749,0.0767755196767358,0.00103658560271326,1.14798412857843
100,7,8.99328240582435,545.506806010778,808,101.951378514612,0.82798418549432,0.858145587157749,0.0767755196767358,0.00103658560271326,1.14798412857843
120,7,8.99328240582435,543.747633137776,808,101.951378514612,0.82798418549432,0.858145587157749,0.0767755196767358,0.00103658560271326,1.14798412857843
130,7,8.99328240582435,543.408604262608,808,101.951378514612,0.82798418549432,0.858145587157749,0.0767755196767358,0.00103658560271326,1.14798412857843
140,7,8.99328240582435,543.246508308194,808,101.951378514612,0.82798418549432,0.858145587157749,0.0767755196767358,0.00103658560271326,1.14798412857843
80,8,12.1301311342287,648.710191488997,368,67.7071342703682,0.92185701728585,1.15637857089317,0.0635958150472749,1.85839938161601,1.47068044737514
100,8,12.1301311342287,636.987695583978,368,67.7071342703682,0.92185701728585,1.15637857089317,0.0635958150472749,1.85839938161601,1.47068044737514
120,8,12.1301311342287,624.909695583978,368,67.7071342703682,0.92185701728585,1.15637857089317,0.0635958150472749,1.85839938161601,1.47068044737514
130,8,12.1301311342287,619.742295583978,368,67.7071342703682,0.92185701728585,1.15637857089317,0.0635958150472749,1.85839938161601,1.47068044737514
